nombre_pokemon,velocidad,fuerza,elemento,peso,altura
Omastar,64,86,electricidad,142.71,254.6
Jigglypuff,27,90,tierra,264.16,170.23
Hitmonchan,5,200,tierra,60.57,184.5
Clefable,9,15,agua,257.35,119.65
Mewtwo,70,31,fuego,220.79,227.62
Ninetales,24,136,fuego,147.78,73.79
Dragonite,95,95,electricidad,55.62,168.6
Kangaskhan,44,103,agua,12.59,152.13
Starmie,72,135,aire,140.5,85.79
Vaporeon,49,81,aire,176.84,277.05
Mew,34,78,aire,138.53,141.61
Electabuzz,14,153,aire,201.1,109.83
Electabuzz,58,190,aire,297.68,263.2
Pinsir,36,194,agua,198.97,7.08
Tentacruel,98,161,tierra,172.05,141.63
Gengar,15,122,electricidad,273.0,60.72
Dragonite,67,118,aire,181.28,92.48
Electrode,75,112,aire,145.03,225.17
Lickitung,19,75,fuego,205.64,72.63
Rhydon,16,191,aire,28.22,249.68
Jynx,74,71,electricidad,134.14,110.72
Bulbasaur,36,182,agua,12.98,135.89
Eevee,99,190,electricidad,214.23,245.75
Scyther,82,185,fuego,273.16,96.72
Arcanine,78,117,fuego,193.15,68.33
Alakazam,75,149,fuego,183.34,197.07
Kabutops,93,106,electricidad,215.5,42.34
Magneton,50,27,aire,259.86,85.84
Jolteon,3,80,electricidad,225.65,135.14
Gyarados,46,101,aire,292.17,205.35
Lickitung,21,152,aire,248.15,289.63
Victreebel,7,79,aire,70.3,195.57
Articuno,76,93,fuego,35.85,159.56
Seaking,80,196,electricidad,297.05,196.19
Snorlax,27,31,tierra,92.47,23.06
Chansey,59,153,electricidad,294.81,195.28
Alakazam,87,76,fuego,175.44,178.89
Kangaskhan,81,118,aire,93.83,28.71
Gengar,98,20,tierra,282.72,233.43
Pikachu,46,43,agua,114.5,76.58
Gengar,41,24,tierra,53.38,21.46
Muk,93,150,agua,160.84,242.88
Hypno,99,194,agua,15.45,235.21
Wigglytuff,37,185,tierra,291.12,42.62
Starmie,37,134,agua,79.34,289.58
Kingler,97,17,tierra,281.34,20.64
Alakazam,56,117,electricidad,298.74,193.67
Rhydon,62,42,electricidad,121.41,295.62
Seadra,92,30,fuego,36.17,182.94
Muk,19,17,tierra,187.37,63.43
Muk,63,155,electricidad,75.19,58.1
Poliwrath,78,23,aire,32.34,135.74
Snorlax,51,5,fuego,33.11,256.12
Dewgong,88,128,tierra,279.57,224.71
Moltres,99,69,agua,266.87,240.07
Tangela,74,89,fuego,277.02,89.5
Seadra,31,108,electricidad,203.73,146.83
Hitmonchan,55,2,tierra,273.95,94.18
Hypno,85,125,tierra,18.52,87.77
Mew,19,3,aire,95.03,50.58
Slowbro,66,141,electricidad,106.51,115.96
Muk,39,66,fuego,288.05,282.28
Eevee,83,107,fuego,5.68,229.46
Farfetch'd,61,168,agua,193.56,255.09
Exeggutor,18,178,fuego,260.82,145.97
Zapdos,31,36,aire,225.93,162.27
Vaporeon,78,101,aire,246.07,3.46
Vaporeon,88,38,aire,215.31,103.11
Kabutops,61,126,agua,29.18,115.55
Scyther,100,177,aire,127.56,106.51
Slowbro,61,85,electricidad,220.1,194.58
Vaporeon,87,60,fuego,253.61,144.71
Mewtwo,10,160,electricidad,29.19,240.65
Dragonair,30,108,aire,61.33,98.64
Arcanine,18,81,fuego,239.92,164.17
Gyarados,49,51,fuego,71.21,32.18
Vaporeon,9,140,electricidad,212.23,35.37
Farfetch'd,20,18,fuego,77.55,58.72
